file,clip_id,episode_id,ok,bytes,n_raw,n_decoded,n_bad_frames,n_const_frames_sampled,T_out,nlab,hours,image_size,n_stack,quality,mean_v,max_v,min_v,stop_frac,dist_m,net_head,cum_head,junction,stopped,city,hw,lk,tl,tr,ac,bs,lk2,tl2,tr2,ac2,bs2,has_stop,has_brake,has_turn,n_nan_poses,n_nan_actions
00097de1-5ded-4fba-a5ed-4b527678d1b0.v2ep.pt,00097de1-5ded-4fba-a5ed-4b527678d1b0,808464441,True,2569912,201,201,0,0,199,179,0.005527777777777777,256,3,90,1.130936861038208,2.842810869216919,0.0,0.37185928225517273,22.505642700195313,0.1008135921493882,1.2628746567786775,0,0.42211055755615234,0.5778894424438477,0.0,172,0,0,7,0,172,0,0,7,0,1,0,0,0,0
000b9875-a493-4113-978a-13e5618937f3.v2ep.pt,000b9875-a493-4113-978a-13e5618937f3,808464482,True,2541496,201,201,0,0,199,179,0.005527777777777777,256,3,90,15.066051483154297,18.918954849243164,11.033539772033691,0.0,299.81442871093753,29.02878208579609,29.205752287191125,0,0.0,0.24623115360736847,0.7537688612937927,72,0,0,59,48,72,0,0,59,48,0,1,0,0,0
00139356-6a64-42b6-9e22-0ea914cfd0e0.v2ep.pt,00139356-6a64-42b6-9e22-0ea914cfd0e0,808464691,True,3131640,201,201,0,0,199,179,0.005527777777777777,256,3,90,11.551728248596191,12.771102905273438,9.938057899475098,0.0,229.87939453125,76.91515639448545,77.22580705831597,1,0.0,0.5477386713027954,0.4522612988948822,89,80,0,0,10,138,0,0,25,16,0,1,1,0,0
0014b1dc-e88e-442e-8744-7a06d90a837d.v2ep.pt,0014b1dc-e88e-442e-8744-7a06d90a837d,808464692,True,2079352,201,201,0,0,199,179,0.005527777777777777,256,3,90,12.278242111206055,19.044370651245117,9.138070106506348,0.0,244.33701171875,11.935591650057201,173.05733628369182,1,0.0,0.5829145908355713,0.4170854389667511,18,71,77,13,0,54,48,15,50,12,0,0,1,0,0
0019e505-266b-4db5-b3c2-17ff2eadef95.v2ep.pt,0019e505-266b-4db5-b3c2-17ff2eadef95,808464697,True,2049336,201,201,0,0,199,179,0.005527777777777777,256,3,90,11.915021896362305,12.61020278930664,7.329505920410156,0.0,237.10893554687502,2.5831638837204824,18.844942712550402,0,0.0,0.22110553085803986,0.7788944840431213,162,0,0,0,17,162,0,0,0,17,0,1,0,0,0
001d413e-2803-4c6b-a11a-8f7793a3534e.v2ep.pt,001d413e-2803-4c6b-a11a-8f7793a3534e,808464740,True,2112312,201,201,0,0,199,179,0.005527777777777777,256,3,90,4.634816646575928,7.199387550354004,2.9182260036468506,0.0,92.23284912109375,14.764109589142883,45.73583460699748,1,0.0,1.0,0.0,121,0,21,17,20,90,0,52,17,20,0,1,1,0,0
002ad9f6-c1d4-4ca6-bea5-91f1974ff2ec.v2ep.pt,002ad9f6-c1d4-4ca6-bea5-91f1974ff2ec,808464993,True,2366712,201,201,0,0,199,179,0.005527777777777777,256,3,90,11.530534744262695,16.574804306030273,7.495757102966309,0.0,229.4576416015625,4.329984763951243,78.65632187808345,1,0.0,0.5879396796226501,0.41206029057502747,29,29,25,43,53,34,23,15,47,60,0,1,1,0,0
0036fdd5-7025-421e-8ead-168cf98fa647.v2ep.pt,0036fdd5-7025-421e-8ead-168cf98fa647,808465206,True,3807288,201,201,0,0,199,179,0.005527777777777777,256,3,90,3.0476794242858887,6.517014980316162,0.0,0.18592964112758636,60.64882202148438,68.90010015820474,70.4334571363051,1,0.42211055755615234,0.5778894424438477,0.0,90,0,70,14,5,49,0,110,16,4,1,1,1,0,0
0055ed0d-7d9b-4cea-868e-4e8b3644ca05.v2ep.pt,0055ed0d-7d9b-4cea-868e-4e8b3644ca05,808465717,True,3976504,201,201,0,0,199,179,0.005527777777777777,256,3,90,7.4359822273254395,12.826016426086426,0.0366799458861351,0.16080401837825775,147.9760498046875,0.1725852199478822,6.75468825892743,0,0.20603014528751373,0.43718594312667847,0.356783926486969,77,0,0,0,102,77,0,0,0,102,1,1,0,0,0
005607af-20e2-429e-84c3-ecd354368cbb.v2ep.pt,005607af-20e2-429e-84c3-ecd354368cbb,808465718,True,2892536,201,201,0,0,199,179,0.005527777777777777,256,3,90,6.166103839874268,7.60632848739624,3.3735711574554443,0.0,122.70546875000001,75.31022586407254,92.62109442865973,1,0.0,1.0,0.0,78,0,28,41,32,78,0,25,44,32,0,1,1,0,0
0068cc81-1005-4a52-be12-d9d8db861b18.v2ep.pt,0068cc81-1005-4a52-be12-d9d8db861b18,808465976,True,2072632,201,201,0,0,199,179,0.005527777777777777,256,3,90,7.19174861907959,14.450970649719238,0.0,0.04522613063454628,143.1157958984375,70.59789394057314,180.30564231393606,1,0.060301508754491806,0.8140703439712524,0.12562814354896545,13,37,76,40,13,13,28,70,53,15,1,1,1,0,0
006c7850-91df-4595-be40-1e3ab128eebc.v2ep.pt,006c7850-91df-4595-be40-1e3ab128eebc,808466019,True,3283192,201,201,0,0,199,179,0.005527777777777777,256,3,90,21.342741012573242,25.46773910522461,16.246597290039062,0.0,424.72055664062503,23.79420706816836,25.818087741891517,0,0.0,0.0,1.0,72,0,0,75,32,72,0,0,75,32,0,1,0,0,0
007a5809-8a56-40b5-8af5-7e0f65229496.v2ep.pt,007a5809-8a56-40b5-8af5-7e0f65229496,808466273,True,1714744,201,201,0,0,199,179,0.005527777777777777,256,3,90,12.211091995239258,15.56380844116211,9.94616413116455,0.0,243.000732421875,89.5110634127428,183.30603513329595,1,0.0,0.47236180305480957,0.5276381969451904,8,110,45,7,9,38,64,19,35,23,0,1,1,0,0
007d21bb-4691-45bd-9b0d-a8f63464f461.v2ep.pt,007d21bb-4691-45bd-9b0d-a8f63464f461,808466276,True,3328760,201,201,0,0,199,179,0.005527777777777777,256,3,90,5.538702011108398,9.185563087463379,0.5098279714584351,0.0,110.22016601562501,1.9874757654469903,62.958101957671275,1,0.15075376629829407,0.8492462038993835,0.0,121,23,23,0,12,113,32,20,0,14,0,1,1,0,0
007e4b12-d993-44af-9357-25edc7a474f8.v2ep.pt,007e4b12-d993-44af-9357-25edc7a474f8,808466277,True,2633400,201,201,0,0,199,179,0.005527777777777777,256,3,90,8.705744743347168,13.907416343688965,4.345850467681885,0.0,173.24431152343752,83.73076311062022,86.951067530687,1,0.0,0.6834170818328857,0.31658291816711426,39,0,82,29,29,41,0,30,79,29,0,1,1,0,0
007fc5b6-87df-4b6b-9d0b-60d1498f3620.v2ep.pt,007fc5b6-87df-4b6b-9d0b-60d1498f3620,808466278,True,1879224,201,201,0,0,199,179,0.005527777777777777,256,3,90,14.026212692260742,16.261585235595703,11.507572174072266,0.0,279.121630859375,146.13262129247482,169.7382741584158,1,0.0,0.1909547746181488,0.8090452551841736,40,0,89,33,17,40,0,66,44,29,0,1,1,0,0
0084596e-465e-42c3-a893-4e51714e3592.v2ep.pt,0084596e-465e-42c3-a893-4e51714e3592,808466484,True,2706104,201,201,0,0,199,179,0.005527777777777777,256,3,90,10.163884162902832,11.978543281555176,7.091836452484131,0.0,202.26129150390625,1.2039028034847876,68.8936866105741,1,0.0,1.0,0.0,110,14,20,0,35,120,12,2,0,45,0,1,1,0,0
0087c181-61ff-4091-ac20-20134cfb8334.v2ep.pt,0087c181-61ff-4091-ac20-20134cfb8334,808466487,True,2660472,201,201,0,0,199,179,0.005527777777777777,256,3,90,7.879289627075195,11.169687271118164,4.074108600616455,0.0,156.79786376953126,63.49208614698287,115.59906657025489,1,0.0,1.0,0.0,35,21,53,37,33,35,0,50,37,57,0,1,1,0,0
0089a096-68be-40df-8097-780bf1ae1c19.v2ep.pt,0089a096-68be-40df-8097-780bf1ae1c19,808466489,True,2672120,201,201,0,0,199,179,0.005527777777777777,256,3,90,4.781784534454346,7.023477554321289,2.3373234272003174,0.0,95.15751342773439,57.58107651471376,137.52050406989744,1,0.0,1.0,0.0,60,50,40,7,22,54,50,45,8,22,0,1,1,0,0
009148b9-ed55-4276-9c02-96bec29ac776.v2ep.pt,009148b9-ed55-4276-9c02-96bec29ac776,808466737,True,3295480,200,200,0,0,198,178,0.0055000000000000005,256,3,90,5.9846696853637695,7.433420658111572,0.8895227909088135,0.0,118.4964599609375,69.16838315861366,81.25269534765873,1,0.005050505045801401,0.9949495196342468,0.0,94,0,26,25,33,94,0,24,27,33,0,1,1,0,0
00968051-1d81-4d98-be0d-dcf9fdbabd45.v2ep.pt,00968051-1d81-4d98-be0d-dcf9fdbabd45,808466742,True,2304696,201,201,0,0,199,179,0.005527777777777777,256,3,90,3.9048733711242676,11.008734703063965,0.0,0.44723618030548096,77.70698242187501,89.74175988214915,89.7418418444192,1,0.4623115658760071,0.5376884341239929,0.0,87,51,0,41,0,87,47,0,45,0,1,0,1,0,0
00b68fe9-518c-4a31-a45e-b609487089d9.v2ep.pt,00b68fe9-518c-4a31-a45e-b609487089d9,808477238,True,2880696,201,201,0,0,199,179,0.005527777777777777,256,3,90,12.110782623291016,13.964828491210938,10.50623893737793,0.0,241.00456542968752,6.888027211904419,17.471132123272376,0,0.0,0.5175879597663879,0.48241207003593445,138,0,0,27,14,138,0,0,27,14,0,1,0,0,0
00bea5a6-44df-4138-a338-4bbe9dc3a255.v2ep.pt,00bea5a6-44df-4138-a338-4bbe9dc3a255,808477285,True,2552632,201,201,0,0,199,179,0.005527777777777777,256,3,90,7.680312156677246,10.866337776184082,2.8939530849456787,0.0,152.8382080078125,102.96880370047236,103.07751299130229,1,0.0,1.0,0.0,82,65,0,18,14,82,59,0,24,14,0,1,1,0,0
00c3f691-7d83-4dd1-ac9d-e381c4c7036c.v2ep.pt,00c3f691-7d83-4dd1-ac9d-e381c4c7036c,808477491,True,2200888,201,201,0,0,199,179,0.005527777777777777,256,3,90,8.550396919250488,12.733636856079102,0.8583310842514038,0.0,170.15289306640625,17.60695726510725,37.551997566136585,1,0.11055276542901993,0.4271356761455536,0.4623115658760071,99,30,0,0,50,107,0,0,0,72,0,1,1,0,0
00d053ed-9f40-4af3-98a6-7f138c71bc13.v2ep.pt,00d053ed-9f40-4af3-98a6-7f138c71bc13,808477744,True,2635192,201,201,0,0,199,179,0.005527777777777777,256,3,90,8.062494277954102,12.76119613647461,3.8655450344085693,0.0,160.44362792968752,28.366991396735216,128.85799371162372,1,0.0,0.8743718862533569,0.12562814354896545,34,35,99,2,9,40,29,47,13,50,0,1,1,0,0
00d05901-ed0a-4a43-adca-bdab70d30bfa.v2ep.pt,00d05901-ed0a-4a43-adca-bdab70d30bfa,808477744,True,2758840,201,201,0,0,199,179,0.005527777777777777,256,3,90,6.294780254364014,8.699549674987793,3.410541534423828,0.0,125.26612548828126,93.11340763384509,96.27745861590763,1,0.0,1.0,0.0,79,0,58,32,10,79,0,55,33,12,0,1,1,0,0
