token,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,pdm_score,valid,log_name,frame_type,start_time,endpoint_x,endpoint_y,start_point_x,start_point_y,two_frame_extended_comfort,score
4d1e72e6a45853c3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895282.9998698,664235.0560297389,3997403.545222477,664249.9159843681,3997392.980901499,1.0,1.0
59cc5d51c60d5a1d,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895325.000113,664191.2845040802,3997360.0454369704,664174.9474708397,3997373.080538295,1.0,1.0
3ffea9df17af502b,1.0,1.0,1.0,1.0,0.9201458643268436,1.0,1.0,1.0,0.9714806658310157,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895252.500234,664424.932381786,3997347.6095249425,664424.9369005171,3997376.2849973473,,0.9714806658310157
0f206a62842b59b2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737341.501462,664463.939536237,3998748.1897846158,664462.2609249852,3998740.366583745,,1.0
0f3d66a03c5e500b,1.0,1.0,1.0,1.0,0.9954274764774221,1.0,1.0,1.0,0.8555098130276507,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737354.5009,664491.146421625,3998857.218168688,664478.4319752645,3998815.2568066954,1.0,0.9985710863991943
627ed4c9950753e9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737388.5003989,664620.7130838947,3999151.3317922982,664615.1611194472,3999140.852875869,1.0,1.0
d5cf4595a3435917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737390.000978,664621.1017611444,3999152.0242969966,664618.037350181,3999146.379730688,1.0,1.0
dc952092ef6a5243,1.0,1.0,1.0,1.0,0.5733308223573388,1.0,1.0,1.0,0.8476181508419067,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737398.001019,664623.4536740124,3999156.4406760638,664621.2955686053,3999152.3975812816,1.0,0.8666658819866684
6f2baa8c8c8e5942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895320.0003278,664172.464471767,3997377.6495605656,664171.6305557954,3997396.483004395,1.0,1.0
76dd2e9ad6f753b8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895087.4997458,664429.8976860606,3998590.928291111,664430.0382982983,3998593.38532093,,1.0
3ec484ccad125e99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737353.5006728,664487.4525267199,3998846.59128313,664476.2414293367,3998805.6956033483,1.0,1.0
1541f285d1525ca0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895333.9994318,664245.5411616435,3997358.9803953264,664218.6331375409,3997363.339119503,0.0,0.875
ce2de8af70e05a57,1.0,1.0,1.0,1.0,0.8549114937275417,1.0,1.0,1.0,0.948182676331265,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895073.500084,664431.87247409,3998622.7943647974,664434.1502228765,3998649.940580542,1.0,0.9546598417898569
d4849a52aaa55a9f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895321.000012,664174.9474708397,3997373.080538295,664170.8250757683,3997391.8936597267,1.0,1.0
d484aff53cd1589f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895408.9998958,664426.4581147861,3997301.917759566,664412.9470665603,3997304.783986237,,1.0
96a0bbef8c335c3e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895335.500104,664256.5439782653,3997355.184303831,664227.988993763,3997363.5034032864,0.0,0.875
43cc094e7af0518e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737435.001675,664734.1997239562,3999371.756040445,664730.3492335778,3999364.3995558284,1.0,1.0
