token,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,pdm_score,valid,log_name,frame_type,start_time,endpoint_x,endpoint_y,start_point_x,start_point_y,two_frame_extended_comfort,score
4d1e72e6a45853c3,0.5,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895282.9998698,664230.2562240381,3997400.823868258,664249.9159843681,3997392.980901499,0.0,0.0
59cc5d51c60d5a1d,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895325.000113,664187.0028080961,3997355.294745693,664174.9474708397,3997373.080538295,1.0,0.0
3ffea9df17af502b,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895252.500234,664425.0873271272,3997340.205377766,664424.9369005171,3997376.2849973473,,0.0
0f206a62842b59b2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737341.501462,664462.3217520034,3998740.6658025496,664462.2609249852,3998740.366583745,,0.0
0f3d66a03c5e500b,1.0,0.0,1.0,1.0,0.9453913060862413,1.0,1.0,1.0,0.0,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737354.5009,664487.984433683,3998855.528469203,664478.4319752645,3998815.2568066954,1.0,0.0
627ed4c9950753e9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737388.5003989,664624.0267899119,3999157.892477904,664615.1611194472,3999140.852875869,1.0,0.0
d5cf4595a3435917,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737390.000978,664624.741768748,3999159.095969146,664618.037350181,3999146.379730688,0.0,0.0
dc952092ef6a5243,1.0,1.0,1.0,1.0,0.342056715615296,1.0,1.0,1.0,0.7650202555768914,True,2021.06.03.12.02.06_veh-35_01100_01227,0,1622737398.001019,664622.4912844716,3999154.6240590755,664621.2955686053,3999152.3975812816,1.0,0.79439272362978
6f2baa8c8c8e5942,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895320.0003278,664167.655113182,3997377.7729175976,664171.6305557954,3997396.483004395,1.0,0.0
76dd2e9ad6f753b8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.06.28.15.02.02_veh-38_02398_02848,0,1624895087.4997458,664429.7202244735,3998587.8700468233,664430.0382982983,3998593.38532093,,1.0
