clip,w_pointwise,r_pointwise,w_window_med,true_wb,L_enc,n_win
01be5919-6e61-45ba-a193-5f447efb4b51,3.077429564352769,0.9995648496386329,3.106411047289133,2.73000001907349,2.899999986093444,7
060531e1-9935-482e-8c25-2abf37bdc41b,,,,3.16499996185303,2.9000000077871757,7
0fa2b231-435e-4700-9138-30f333dc5d6e,2.808673827727351,0.6680433241830612,2.742285283457008,3.16499996185303,2.8999999897374087,7
10804db8-d070-444e-a1f1-89c1871588d5,2.808878141141934,0.9830859388900861,2.9403898920607765,3.13499999046326,2.8999999961061844,7
11e40da1-3d9e-4ee6-8406-8db2eed4a594,2.8928534313206993,0.9613690914097486,2.8899119508487163,3.21600008010864,2.900000004758467,7
126b3a97-0879-4ff3-9f4a-ea846f8a70ef,2.755355732302564,0.996224475200451,2.709262638937969,3.16499996185303,2.8999999931158085,7
13c95b6a-5d18-4267-8943-1ddb8fe85008,2.571987009733684,0.9924722086916583,2.405450741328792,3.16499996185303,2.9000000312574263,7
14157960-84db-4f4e-84f1-a4664086c6f8,,,2.8380926093202676,3.21600008010864,2.899999995507576,7
142a3a72-6cd4-4056-bb66-c9098f54b7fa,2.8655745985200536,0.9998932910343517,2.8787957332725345,2.73000001907349,2.899999986403678,7
14bc9fcf-c048-42c3-b35d-0fc13b8ddc04,2.8773369914566476,0.9989699602019577,2.883259778513964,3.21600008010864,2.900000004270854,7
16d89725-2f31-4a12-9244-658d2b83994c,2.853087456151716,0.7379587033529661,,3.13499999046326,2.8999999985147134,7
17775e74-2d89-4c4f-9347-c58cea5585cb,2.978973741177453,0.980803943342402,3.0155731168951756,3.16499996185303,2.900000006716258,7
18b72291-84f4-45e0-a736-908fc303020e,2.852176836927101,0.9997185112632161,2.810252324792306,3.16499996185303,2.899999997243802,7
1bd040a8-1828-4f1f-933e-20fd53c45641,2.8449243513545857,0.9995941139806918,2.715089354489823,3.16499996185303,2.9000000104723904,7
1c3a2c7c-7e82-4c22-92ad-59a5823b3c5f,2.872672429694497,0.9979351438986516,2.8060402582044675,3.16499996185303,2.8999999826751592,7
204b15b4-bd0a-4155-b01e-572c55197d0e,,,,3.16499996185303,2.9000000029880373,7
2172a5a3-8a1d-4458-8aa7-b86ca16eb2d8,,,2.9273102617808657,2.73000001907349,2.900000000759012,7
24fee8a5-9ccc-4610-b27b-560f08fd46c8,3.1399658156563857,0.9997683854878133,3.083684543752076,2.73000001907349,2.899999989584736,7
2602baaa-4364-4c50-8fb5-a27254c77cb3,,,2.9639548667882156,3.21600008010864,2.90000000017183,7
262b900f-2cff-4ddf-a95e-2aaa5eaff9bc,2.8651718788961755,0.9997036707963968,2.868370261763331,3.16499996185303,2.8999999962727747,7
