# NuRec scenes with a COMPLETE junction traversal (>=10 poses before entry AND after exit)
# MEASURED 2026-08-03, stage-1 survey of all 1607 scenes (results/nurec_survey_stage1.jsonl).
# T1 = |turn| >= 60 deg (a real junction turn) | T2 = 25..60 deg.
# These are candidates by GEOMETRY. Whether the ego's own lane had >=2 options is a
# map question -- run junction_probe.py / strategic_gt.py per scene (stage 2).
tier	turn_deg	scene_id	category	pose_span	poses_pre	poses_post	n_complete	n_traversals	path_m	n_poses
T1	158.94	4a2db3b3-105b-4b03-9ddc-fe5900098887	T_JUNCTION_ASYMMETRICAL	[67, 114]	67	87	1	1	186.66	202
T1	149.68	470c4ecc-8d6b-46dc-ba60-fd16888c5797	CUL_DE_SAC	[92, 171]	92	30	2	2	142.21	202
T1	142.21	302c5c99-2762-4f5d-950e-1122f3e7c20a	FOUR_WAY	[72, 106]	72	95	1	1	160.65	202
T1	132.4	b5d12506-227c-4461-b38e-d8ce2ec22247	ROUNDABOUT	[98, 182]	98	19	1	1	81.36	202
T1	124.16	213dfdac-3596-472d-8dc9-aaef6d0a7b92	T_JUNCTION_ASYMMETRICAL	[68, 131]	68	70	1	1	149.11	202
T1	123.53	7c72937c-c620-4776-9555-d57222c0081f	FOUR_WAY	[85, 141]	85	60	1	2	127.55	202
T1	118.94	1544b166-8f12-4481-a1c3-eeda51581e1a	T_JUNCTION	[58, 142]	58	59	1	1	142.32	202
T1	116.76	6bffbe09-1e0d-4ac3-833c-ca6178346e76	FOUR_WAY	[74, 137]	74	64	1	1	117.8	202
T1	115.44	1aa48b8a-a2d9-4540-8d7e-a6fafd5b0dca	FOUR_WAY	[112, 172]	112	29	1	1	87.63	202
T1	113.64	68abdefe-bd54-4b5e-95c6-a2e2eba6f51e	FOUR_WAY	[65, 147]	65	54	3	4	119.12	202
T1	111.39	c3d4065e-ee11-4fcc-a7f0-41b031316544	ROUNDABOUT	[28, 113]	28	88	1	1	216.27	202
T1	108.86	0d10d2e3-29ef-40cb-b612-94021d98245c	FOUR_WAY	[68, 133]	68	68	1	1	82.63	202
T1	107.33	fb36b704-9f73-43c2-b4ac-24c34d72a150	ROUNDABOUT	[11, 142]	11	59	2	3	191.08	202
T1	97.19	dffd4c04-92a8-468d-a362-cd3a98445da9	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[11, 146]	11	55	1	1	80.24	202
T1	96.97	185ee101-147e-4e76-af41-a0d8b4beb2fe	FOUR_WAY	[111, 172]	111	29	1	1	77.65	202
T1	96.69	f5e4e873-4c83-427c-a2d2-3c5179b2bae5	T_JUNCTION	[17, 63]	17	138	1	1	208.13	202
T1	95.55	3ce13eed-f97b-4c37-8716-a590569fab77	FOUR_WAY	[37, 112]	37	89	1	1	114.33	202
T1	93.79	7652eb53-0bc4-4f3e-8fd2-d24e84b7485c	FOUR_WAY	[19, 113]	19	88	2	2	118.78	202
T1	92.06	abd45a30-146a-40c0-9f78-9ce697ac3ade	FOUR_WAY_UNCONTROLLED_ASYMMETRICAL	[108, 170]	108	31	2	2	167.93	202
T1	91.75	d1a25a99-0f02-4730-a076-96f067e92874	FOUR_WAY_ASYMMETRICAL_PUBLIC_CONTROLLED	[45, 94]	45	107	1	1	135.68	202
T1	90.67	7daa7410-5f82-43ed-b79f-c9e4a3997563	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[70, 132]	70	69	2	3	100.78	202
T1	90.45	c099d336-1152-4d57-b121-f325d8acb0e4	FOUR_WAY	[121, 182]	121	19	1	1	60.33	202
T1	89.97	14e9329f-5964-4888-99d9-bb3027477bea	FOUR_WAY	[100, 150]	100	51	2	3	185.34	202
T1	89.7	00ecbc19-5168-48c4-8b6a-9d64005e640e	TWO_WAY_STOP	[39, 87]	39	114	2	2	134.92	202
T1	87.65	b22281c8-1f6f-4647-b59e-3f11331e82a6	FOUR_WAY	[68, 145]	68	56	1	1	109.7	202
T1	87.35	0f525628-b4c3-4506-8b16-a27385913fa5	FOUR_WAY	[104, 177]	104	24	1	1	52.14	202
T1	87.24	d85682b8-f612-4aa3-90a2-ee2bb86151e6	FOUR_WAY	[77, 129]	77	72	2	2	181.52	202
T1	87.21	aa094af8-da2c-4be0-bb80-2e17617daa25	FOUR_WAY_UNCONTROLLED_ASYMMETRICAL	[42, 154]	42	47	1	1	79.75	202
T1	86.48	ed2774ed-8238-4eac-aa14-07bbd99f95a0	FOUR_WAY	[104, 144]	104	57	1	2	73.46	202
T1	86.48	f0674f19-6030-4e5c-9031-cd2528c35e06	FOUR_WAY	[119, 168]	119	33	1	1	76.67	202
T1	86.47	5894f7ff-cd15-49c5-9b6e-5152a8f21092	FOUR_WAY	[127, 162]	127	39	1	1	99.62	202
T1	86.24	64cfbdc4-e2c1-4969-ad12-816c4e4768e1	FOUR_WAY	[70, 105]	70	96	1	1	183.48	202
T1	85.99	37a9fc2d-9122-4b96-a4b4-fbe5c242d074	FOUR_WAY	[20, 77]	20	124	1	1	223.05	202
T1	85.9	2c84ac16-0b90-4416-b7c2-553b2f331b7f	TWO_WAY_STOP	[142, 186]	142	15	1	1	29.22	202
T1	85.51	f38424ea-61ee-4fb8-9686-8163f246ba0e	T_JUNCTION_ASYMMETRICAL_INTERNAL	[94, 128]	94	73	1	1	260.97	202
T1	85.25	a1b166cc-b0a6-491b-98eb-2880a57e8677	FOUR_WAY	[114, 169]	114	32	1	1	56.04	202
T1	85.17	19dc4c06-0e82-4fc7-813f-34761e63d009	FOUR_WAY	[81, 141]	81	60	1	1	155.73	202
T1	85.15	7c31c021-4616-49db-8baa-e9128a25933e	T_JUNCTION_ASYMMETRICAL	[98, 155]	98	46	1	1	70.11	202
T1	84.95	604b2b18-04d2-48c4-a4c3-c3a2ecee5926	FOUR_WAY	[70, 120]	70	81	1	1	127.2	202
T1	84.02	2509e4dd-c27a-4461-b846-34174343e4db	FOUR_WAY	[79, 123]	79	78	1	1	157.09	202
T1	83.7	adb72a39-1e21-46ef-80f2-9c86a8e9504a	FOUR_WAY	[84, 111]	84	90	2	2	43.6	202
T1	83.67	1bed5f04-325a-41d1-9eb6-973285f62dae	ROUNDABOUT	[97, 172]	97	29	1	2	149.34	202
T1	83.67	58814d76-1ced-4a15-9fdd-151111a76535	FOUR_WAY	[98, 157]	98	44	1	1	56.95	202
T1	83.64	2ee841e9-a7cf-4fc6-86af-ebbb1ffe9542	TWO_WAY_STOP	[35, 84]	35	117	2	2	154.97	202
T1	83.29	97d6b1d4-2d03-423e-b423-78c0139baa9a	FOUR_WAY	[105, 144]	105	57	1	1	81.73	202
T1	83.23	1e0b54b8-2608-4fe2-a2d2-0b05bf169e4a	FOUR_WAY	[107, 191]	107	10	1	1	69.48	202
T1	83.08	72ac5d7c-4420-4d75-905c-815e9d23bc2a	UNCLASSIFIED	[83, 112]	83	89	1	1	171.25	202
T1	82.88	132ae6cb-1e58-42aa-8bf3-4381eb958e43	FOUR_WAY	[67, 113]	67	88	3	4	220.65	202
T1	82.81	3e265bc2-2a8b-4c5c-8e6b-1de009b6672d	FOUR_WAY_STOP	[146, 176]	146	25	1	1	105.54	202
T1	82.8	bdc3344d-4e43-45b9-807c-f7526199e4ef	T_JUNCTION_ASYMMETRICAL	[14, 34]	14	167	2	3	154.85	202
T1	82.73	80c97721-b259-444c-89ca-5f6a2a486742	FOUR_WAY_UNCONTROLLED_ASYMMETRICAL	[72, 109]	72	92	4	6	212.39	202
T1	82.64	dba136f2-22ba-4407-8b87-a2ad5272b8c5	FOUR_WAY	[107, 157]	107	44	1	1	62.85	202
T1	82.58	5ec7792d-dd2f-441b-b0c6-7edc7e80a58d	FOUR_WAY	[106, 153]	106	48	1	3	76.91	202
T1	82.48	d1681242-2510-4d3e-be98-15b2d35a636e	FOUR_WAY	[101, 140]	101	61	1	2	67.73	202
T1	81.0	cb6b172b-7319-44fd-aabc-4b61e6ca8f13	FOUR_WAY	[103, 140]	103	61	1	2	91.17	202
T1	80.92	bc843fa0-b475-46af-8e88-ba1597c02128	T_JUNCTION	[57, 113]	57	88	1	1	102.11	202
T1	80.73	510831a8-7a8f-4640-bf5b-ba9505880268	TWO_WAY_STOP	[15, 77]	15	124	1	1	46.69	202
T1	80.51	2f5e9ff5-a3f8-4c0c-80e1-163bd60ac56a	FOUR_WAY	[73, 132]	73	69	1	1	94.84	202
T1	80.29	92d9c0eb-e191-420c-ad6c-df822ca186c1	FOUR_WAY	[92, 154]	92	47	1	1	105.47	202
T1	79.73	3b6a7ba3-9fca-428a-8fbc-8c4e44cb4c4d	FOUR_WAY	[17, 103]	17	98	1	1	169.77	202
