[fals] mode=randenc {"encoder_class": "ViT5Encoder", "init": "RANDOM (untrained)", "init_seed": 1, "params": 87284736, "d_model": 768, "depth": 12, "n_heads": 12, "n_registers": 4, "patch": 16, "in_channels": 9, "image_hw": [256, 640], "config_source": "the LIVE checkpoint's v6_config.encoder"}
[fals] 8/2809  0.0 min  16.2 row/s
[fals] 208/2809  0.1 min  36.0 row/s
[fals] 408/2809  0.2 min  39.8 row/s
[fals] 608/2809  0.3 min  38.8 row/s
[fals] 808/2809  0.3 min  40.2 row/s
[fals] 1008/2809  0.4 min  41.0 row/s
[fals] 1208/2809  0.5 min  40.3 row/s
[fals] 1408/2809  0.6 min  40.7 row/s
[fals] 1608/2809  0.7 min  41.1 row/s
[fals] 1808/2809  0.7 min  41.7 row/s
[fals] 2008/2809  0.8 min  41.9 row/s
[fals] 2208/2809  0.9 min  42.2 row/s
[fals] 2408/2809  0.9 min  42.3 row/s
[fals] 2608/2809  1.0 min  42.5 row/s
[fals] 2808/2809  1.1 min  42.6 row/s
[fals] DONE randenc 2809 rows, d_model 768, 66.0 s -> C:/Users/Admin/AppData/Local/Temp/claude/G--Meine-Ablage-SayBouBase-raw-Projects-TanitAD/8fc25020-a1d5-4e1b-a9e2-aeccf845c5a2/scratchpad/eenc/tok_randenc_s1.pt
